"","variable","estimate"
"140","Transmission.TypeAUTOMATIC:Vehicle.Style4dr Hatchback",-0.0158811489043508
"141","Transmission.TypeMANUAL:Vehicle.Style4dr SUV",-0.0394655041818557
"142","Transmission.TypeAUTOMATIC:Vehicle.StyleConvertible",0.0262836658488172
"143","Transmission.TypeAUTOMATIC:Vehicle.StyleCoupe",-0.0240408321098881
"144","Transmission.TypeMANUAL:Vehicle.StyleSedan",-0.011850304964779
"145","Transmission.TypeMANUAL:city.mpg",-0.00390109867179329
"146","Transmission.TypeAUTOMATIC:Popularity",-1.90761847087189e-06
"147","Transmission.TypeMANUAL:Popularity",-8.60599269128239e-06
"148","Transmission.TypeDIRECT_DRIVE:Engine.HP.Clean",-7.66470574894414e-08
"149","Transmission.TypeDIRECT_DRIVE:Engine.Cylinders.Clean4",-2.88658312713903e-14
"150","Transmission.TypeMANUAL:Engine.Cylinders.Clean6",0.064568969804172
"151","Transmission.TypeMANUAL:Engine.Cylinders.Clean8",-0.043923233303567
"152","Transmission.TypeAUTOMATIC:Engine.Cylinders.Clean12",0.000236227640742212
"153","Transmission.TypeDIRECT_DRIVE:NumDoors.Clean4",-7.75455422195003e-05
"154","Transmission.TypeMANUAL:NumDoors.Clean4",-0.00848967691901072
"155","Driven_Wheelsrear wheel drive:Vehicle.Style4dr Hatchback",0.0405237155771045
"156","Driven_Wheelsfour wheel drive:Vehicle.Style4dr SUV",-0.0116775776349563
"157","Driven_Wheelsfront wheel drive:Vehicle.Style4dr SUV",0.031662719040176
"158","Driven_Wheelsrear wheel drive:Vehicle.Style4dr SUV",0.0138805313241968
"159","Driven_Wheelsrear wheel drive:Vehicle.StyleCargo Minivan",-0.0134805404938165
"160","Driven_Wheelsrear wheel drive:Vehicle.StyleConvertible SUV",-0.0349765095703982
"161","Driven_Wheelsfront wheel drive:Vehicle.StyleCoupe",-0.15981692669692
"162","Driven_Wheelsfour wheel drive:Vehicle.StyleCrew Cab Pickup",0.00301761411145934
"163","Driven_Wheelsrear wheel drive:Vehicle.StyleExtended Cab Pickup",-0.040381991965869
"164","Driven_Wheelsfront wheel drive:Vehicle.StylePassenger Minivan",-2.50851078961966e-05
"165","Driven_Wheelsrear wheel drive:Vehicle.StylePassenger Van",0.0238834480199071
"166","Driven_Wheelsrear wheel drive:Vehicle.StyleRegular Cab Pickup",-0.0754216191843473
"167","Driven_Wheelsfour wheel drive:Vehicle.StyleSedan",-0.114895884265522
"168","Driven_Wheelsrear wheel drive:Vehicle.StyleSedan",0.0286274109732597
"169","Driven_Wheelsfront wheel drive:Vehicle.StyleWagon",-0.0115295036609275
"170","Driven_Wheelsfour wheel drive:Popularity",1.17380922440848e-06
"171","Driven_Wheelsfront wheel drive:Popularity",-4.63054717508348e-06
"172","Driven_Wheelsrear wheel drive:Engine.HP.Clean",-0.000255614158309289
"173","Driven_Wheelsrear wheel drive:Engine.Cylinders.Clean4",0.00394821239696783
"174","Driven_Wheelsrear wheel drive:Engine.Cylinders.Clean5",-0.0119222955733083
"175","Driven_Wheelsfour wheel drive:Engine.Cylinders.Clean6",0.00921349961242112
"176","Driven_Wheelsfour wheel drive:Engine.Cylinders.Clean8",-0.00357873706545837
"177","Driven_Wheelsfront wheel drive:Engine.Cylinders.Clean8",0.10977007702139
"178","Driven_Wheelsrear wheel drive:Engine.Cylinders.Clean10",0.000171279080270906
"179","Vehicle.Style2dr SUV:city.mpg",0.00150167760538984
"180","Vehicle.Style4dr Hatchback:city.mpg",0.00358308747756613
"181","Vehicle.Style4dr SUV:Popularity",-7.5098634320298e-06
"182","Vehicle.StyleCargo Van:Popularity",7.33115985904912e-06
